variable,bartlett_pvalue,mean_diff,mean_production,mean_test,stddev_diff,stddev_production,stddev_test,studentt_pvalue
eic,8.88E-175,0.01620326,0.156093253,0.172296514,0.032398772,0.526318247,0.55871702,2.16E-23
e00800,2.58E-245,1.174657436,43.70300475,44.87766219,92.92000139,1264.749935,1357.669936,0.764990941
jcps62,0,0.025553365,0.014490862,0.040044227,0.216790746,0.329525059,0.546315804,
e53410,2.87E-47,44.19693805,758.1536962,802.3506343,929.6659835,29910.00224,30839.66822,0.62735001
e53280,1.66E-51,6.264713647,98.26524673,104.5299604,118.4790116,3643.261691,3761.740703,0.57239413
cweight,1.030718358366e-311,404.1827155,652.2325505,1056.415266,47.38736535,569.0159276,616.403293,
e60000,5.98E-48,9767.496061,159477.0445,169244.5406,40711.89426,1299962.593,1340674.487,0.013579686
jcps84,0,245.5683458,509.7503317,755.3186775,1077.716064,5657.999841,6735.715905,
xopar,6.93E-144,0.001488378,0.014408206,0.015896584,0.007258635,0.130492557,0.137751192,0.000213149
e22320,1.06E-55,1140.746361,16341.33192,17482.07828,11498.53629,339315.6411,350814.1774,0.270030013
e07300,2.95E-49,168.0975807,2673.524381,2841.621962,2212.273458,69645.70551,71857.97897,0.427960658
e17500,2.89E-61,61.19824003,987.9180751,1049.116315,285.7606947,8021.681812,8307.442506,0.012388091
p08000,3.90E-56,0.873568938,12.98305557,13.8566245,25.84202847,759.4823268,785.3243553,0.705917371
e26190,5.02E-52,3421.402825,52332.45029,55753.85312,20216.55741,618381.5073,638598.0647,0.069325296
e03220,0.129808901,0.04630462,5.851123901,5.897428521,0.128533166,39.95832354,40.08685671,0.699585063
jcps15,0,0.818219248,0.777864784,1.596084032,0.364991979,0.858481666,0.493489687,
txrt,0.550615554,3.53878129,150.5254732,154.0642545,0.149324265,117.9455215,118.0948457,1.53E-23
jcps16,0,0.968720255,0.951707277,1.920427532,0.703005759,0.978695627,0.275689868,
p87482,4.37E-66,9.532657153,159.1491328,168.6817899,29.62700944,799.3070218,828.9340312,9.35E-05
midr,3.44E-75,0.000564307,0.007482523,0.006918216,0.003289745,0.086177343,0.082887598,0.026109305
s009,0.362313177,251646.9652,12475879.99,12727526.95,24314.9718,12578251.06,12602566.03,2.63E-11
e18500,5.62E-40,239.214395,4570.36499,4809.579385,416.3233934,14634.58891,15050.9123,7.58E-08
e07400,6.50E-53,23.34427971,348.2940892,371.638369,296.8070056,8998.268349,9295.075354,0.39447589
jcps44,0,0.002948413,0.015717648,0.012769235,0.040200256,0.310110851,0.269910596,0.000738032
p27895,6.99E-51,9.854957818,171.064093,180.9190508,272.7769508,8441.890462,8714.667413,0.701500348
agedp2,2.32E-244,0.046824006,0.275035133,0.321859139,0.068352924,0.932260239,1.000613163,
e03260,2.07E-42,49.61363504,912.9155737,962.5292087,150.5809868,5130.163137,5280.744123,0.001473424
e02300,0.543812215,4.958163385,502.8233255,497.8651621,3.244170007,2521.880441,2518.636271,0.511751502
jcps47,0,7.196800348,20.74271868,27.93951903,135.0141063,764.6982341,899.7123404,
e03500,1.07E-85,3.379557231,37.77329696,34.39373973,40.36194483,990.0977493,949.7358044,0.245620217
jcps21,0,66179.46465,36814.85168,102994.3163,180082.0909,56134.98819,236217.079,0
jcps25,0,1777.256767,1626.319974,3403.576741,21133.26879,14834.80885,35968.07764,2.91E-105
ie,1.14E-33,8.80E-05,0.001670517,0.001758554,0.001060424,0.040837802,0.041898225,0.477705729
e00400,7.72E-51,710.6415333,10959.27475,11669.91629,4097.745889,126872.8761,130970.622,0.06590183
e68000,2.76E-55,346.58921,5160.491071,5507.080281,3580.594012,106079.5371,109660.1311,0.283715093
filer,0,0.023710152,0.962717896,0.986428048,0.07374677,0.189452234,0.115705464,0
xocawh,6.31E-05,0.000246622,0.005633644,0.005387021,0.000731956,0.0866449,0.085912944,0.340497178
jcps11,0,25.71055819,24.42671261,50.1372708,12.78859307,26.62111962,13.83252654,
e11900,3.19E-50,453.4118213,-7715.800077,-8169.211899,4636.473852,144477.3415,149113.8153,0.302763664
e15250,5.91E-06,0.717814905,85.22736863,84.50955373,2.463025522,257.6778616,255.2148361,0.350627083
recid,1.09E-06,3992.966672,153632.8122,157625.7789,1076.713291,104721.0141,103644.3008,2.15E-37
wsamp,0.008164539,5.092546451,182.1588339,187.2513804,1.454104547,258.5732995,260.0274041,5.74E-11
schb,3.64E-09,0.014896504,0.310533391,0.325429894,0.005823238,0.46271201,0.468535248,1.39E-26
e00200,1.41E-44,6565.275442,140461.7182,147026.9936,20162.52924,669058.9899,689221.5192,0.001258644
e09900,8.22E-61,2.302996981,61.65670012,63.9596971,39.00772677,1099.274344,1138.282071,0.492199809
e25820,2.91E-57,184.773178,3038.685512,3223.45869,1755.239464,51049.89632,52805.13579,0.235144767
earnsplit,1.07E-29,0.030662632,0.494525506,0.463862874,0.020679335,0.871890907,0.851211572,
e15100,2.67E-06,10.9881809,1170.760172,1159.771991,32.72756078,3304.064824,3271.337263,0.26507566
jcps19,0,9942.233606,12671.80142,2729.567815,6093.555671,45868.93411,39775.37844,
e25940,2.37E-55,756.4122667,10841.1296,11597.54187,6151.821241,182140.7081,188292.5294,0.173014211
e27200,1.44E-61,6.751853645,78.02410938,84.77596303,191.0895209,5350.341108,5541.430629,0.679121975
